zipcode,population,poverty_rate,median_income,median_gross_rent,rent_burden
00601,16834,0.620173458476892,17526,1601,0.09134999429419148
00602,37642,0.47202592848414004,20260,3147,0.15533070088845014
00603,49075,0.4798981151299032,17703,8366,0.47257526972829467
00606,5590,0.5404293381037567,19603,485,0.024741111054430446
00610,25542,0.45403648892020987,22796,2389,0.10479908755922092
00611,1315,0.4463878326996198,22525,247,0.010965593784683685
00612,63312,0.43023439474349257,22305,8781,0.3936785474108944
00616,9625,0.43646753246753245,23652,1027,0.04342127515643497
00617,22573,0.46152483054977184,20328,2169,0.10670011806375443
00622,7577,0.46139633100171573,22818,851,0.037295117889385575
00623,39406,0.4117139521900218,23132,3656,0.1580494553000173
00624,21648,0.5141352549889135,20101,2210,0.10994477886672305
00627,32733,0.41435248831454496,23263,2812,0.12087864849761423
00631,1431,0.5911949685534591,15658,202,0.012900753608379103
00636,1057,0.7568590350047304,-666666666,148,-2.22000000222e-07
00637,22882,0.4523206013460362,20568,1585,0.07706145468689227
00638,17605,0.5489349616586197,19796,1552,0.07839967670236411
00641,24299,0.5333141281534219,17673,3546,0.20064505177389239
00646,35926,0.3081890552802984,31330,2443,0.07797638046600702
00647,4702,0.6754572522330923,17143,491,0.0286414279881001
00650,13767,0.4958959831481078,20363,1626,0.07985070962038993
00652,3924,0.3817533129459735,26148,390,0.014915098669114273
00653,8980,0.6453229398663697,13777,1161,0.0842708862597082
00656,18121,0.5180729540312344,21456,1730,0.08063012677106637
00659,37066,0.3988021367290779,23899,3495,0.14624042846981045
00660,15483,0.4112252147516631,22556,1790,0.0793580422060649
00662,40480,0.4800889328063241,20283,5551,0.27367746388601294
00664,14967,0.5516803634662925,17966,2095,0.11660915061783368
00667,23370,0.5599914420196833,16889,2568,0.15205163123926815
00669,27529,0.5534890479131098,18838,3369,0.17884064125703367
00670,8746,0.5193231191401784,16644,714,0.04289834174477289
00674,39385,0.4570775676018789,20088,3916,0.19494225408203902
00676,36683,0.46732819016983346,20160,4763,0.23625992063492063
00677,15304,0.41191845269210664,26404,1624,0.061505832449628844
00678,25039,0.45904389152921443,19558,3143,0.16070150322118826
00680,43173,0.5232205313506126,16535,7803,0.4719080737828848
00682,30414,0.5347537318340239,17385,6085,0.35001438021282716
00683,29547,0.4799472027617017,18132,3495,0.192753143613501
00685,40346,0.5215139047241362,17481,4306,0.2463245809736285
00687,28659,0.47405701524826405,22282,2840,0.12745714029261287
00688,11478,0.521606551664053,17273,1446,0.0837144676663
00690,5781,0.4782909531222972,23343,693,0.02968770080966457
00692,33302,0.4095549816827818,25289,3823,0.15117244651824904
00693,55570,0.4312758682742487,23791,5069,0.2130637636080871
00694,98,0.2755102040816326,-666666666,0,-0.0
00698,33506,0.440070435145944,19818,3060,0.15440508628519528
00703,24475,0.43632277834525024,23045,3076,0.13347797786938598
00704,6831,0.5154442980529937,19845,543,0.027362055933484505
00705,24401,0.4233023236752592,22679,2026,0.08933374487411261
00707,10487,0.5010965957852579,21765,1122,0.05155065472088215
00714,15797,0.5761853516490473,18496,1425,0.07704368512110726
00715,2040,0.6700980392156862,16250,157,0.009661538461538461
00716,27166,0.485754251638077,20184,4047,0.20050535077288942
00717,15029,0.5189966065606494,14164,3354,0.23679751482632025
00718,23289,0.4789814934089055,20414,2233,0.109385715685314
00719,29523,0.4877553094197744,20533,2855,0.13904446500754883
00720,20816,0.5519792467332821,16751,2129,0.1270968897379261
00723,15978,0.4822255601451996,20967,1967,0.0938140888062193
00725,77244,0.40520946610739994,25786,10977,0.4256961141704801
00727,53258,0.3065267189905742,33678,5765,0.17117999881228102
00728,38590,0.466079295154185,21239,2853,0.13432835820895522
00729,47826,0.3511060929201689,26978,4373,0.16209504040329156
00730,32267,0.5231660829950103,17517,4223,0.24108009362333732
00731,10473,0.5597250071612718,16944,874,0.051581680830972615
00735,11164,0.41320315299175925,23125,1120,0.048432432432432435
00736,45867,0.38384895458608587,27158,6434,0.23690993445761838
00738,30093,0.41341840295085236,24643,3586,0.14551799699711887
00739,34678,0.3993021512197935,24887,4164,0.1673162695383132
00740,2034,0.584070796460177,18784,344,0.018313458262350937
00741,3627,0.496829335539013,23821,231,0.00969732588892154
00745,47494,0.3564450246346907,26189,4423,0.16888770094314406
00751,19570,0.49596320899335716,20241,1747,0.08630996492268168
00754,36576,0.456091426071741,19528,3763,0.19269766489143794
00757,20048,0.4637370311252993,22764,1452,0.06378492356352135
00765,8199,0.5406756921575802,17062,818,0.047942796858516
00766,22053,0.42438670475672247,22511,1800,0.07996090800053307
00767,30779,0.49137398875856914,20126,3408,0.16933320083474113
00769,34374,0.5009018444172921,20236,2995,0.14800355801541806
00771,34964,0.39134538382336115,23343,2827,0.12110696996958403
00772,17316,0.5214252714252714,17209,2342,0.136091579987216
00773,17716,0.45219011063445474,22585,2056,0.09103387203896392
00775,1186,0.23440134907251264,25483,172,0.006749597771063062
00777,37726,0.3755500185548428,26052,3631,0.1393750959619223
00778,40476,0.3182132621800573,39484,3410,0.0863640968493567
00780,13908,0.3961029623238424,26075,564,0.021629913710450623
00782,18639,0.5329685068941467,16221,2329,0.14357931076998953
00783,34205,0.45613214442332994,21701,2630,0.12119257177088613
00784,35917,0.44853412033298995,19199,4210,0.2192822542840773
00786,154,0.564935064935065,-666666666,0,-0.0
00791,46537,0.3627221350753164,26002,4242,0.1631412968233213
00794,28335,0.4945473795659079,21278,2892,0.13591502960804586
00795,42900,0.44764568764568763,22579,3658,0.1620089463660924
00901,8220,0.27287104622871045,27926,1823,0.06527966769318914
00906,148,0.0,-666666666,0,-0.0
00907,16607,0.2612151502378515,40293,3247,0.08058471694835331
00909,5260,0.43136882129277565,25778,1477,0.05729691985413919
00911,7087,0.27388175532665443,38125,1926,0.05051803278688525
00912,5955,0.3230898404701931,27026,1325,0.04902686302079479
00913,7068,0.7498585172608941,6449,2517,0.3902930686928206
00915,24713,0.6554445028932141,12963,6319,0.4874643215305099
00917,18544,0.5024805867126834,17086,4039,0.23639236802060165
00918,15976,0.2871807711567351,35000,4069,0.11625714285714285
00920,17293,0.36107095356502633,28562,3302,0.11560815068972762
00921,33555,0.44979883772910145,21419,7416,0.34623465147766
00923,24760,0.4875605815831987,18389,5771,0.3138289194627223
00924,47080,0.46446474086661005,21046,9541,0.4533403021951915
00925,5556,0.5449964002879769,13016,2220,0.17055931161647203
00926,93751,0.2605198877878636,38432,10010,0.2604600333055787
00927,13766,0.21255266598866773,40213,2927,0.07278740705741925
00934,128,0.0,-666666666,28,-4.2000000042e-08
00949,68031,0.3314959356763828,31500,6617,0.21006349206349206
00950,0,,-666666666,0,-0.0
00951,298,0.5234899328859061,21354,84,0.003933689238550154
00952,8168,0.4449069539666993,19392,1151,0.05935437293729373
00953,66079,0.31725661707955627,32957,4156,0.12610371089601602
00956,65841,0.3743715921690132,27243,7367,0.27041808905039827
00957,41009,0.352069058011656,28240,4131,0.14628186968838527
00959,47721,0.33490496846252177,31603,6277,0.19862038414074612
00960,3405,0.01145374449339207,-666666666,0,-0.0
00961,29271,0.2853336066413857,34141,3636,0.10649951671011394
00962,19614,0.5183032527786275,18478,3367,0.18221669011797814
00965,5148,0.5763403263403264,15872,787,0.049584173387096774
00966,16451,0.19476019694851376,51732,1777,0.03435011211629166
00968,3554,0.09454136184580754,55132,420,0.007618080243778568
00969,41784,0.19210702661305762,55929,4235,0.07572100341504408
00971,26430,0.33238743851683694,31484,3015,0.09576292720111802
00976,61638,0.3044225964502417,35661,6732,0.1887776562631446
00979,16890,0.21782119597394908,34705,2977,0.08578014695288863
00982,13876,0.4150331507639089,24244,2081,0.08583567068140571
00983,31816,0.33341714860447574,30595,4464,0.14590619382252001
00985,32265,0.2907794824112816,33270,3775,0.11346558461076045
00987,54109,0.30155796632722837,36396,5199,0.1428453676228157
01001,16045,0.06918043004051107,73398,1798,0.024496580288291235
01002,22992,0.19324112734864302,74265,4525,0.06093045176058709
01003,11989,0.00025022937692885145,-666666666,19,-2.85000000285e-08
01005,4837,0.08683068017366136,97409,98,0.0010060672011826422
01007,15368,0.08250910983862572,99500,1001,0.010060301507537688
01008,1231,0.03249390739236393,93405,29,0.0003104758845886195
01009,699,0.15164520743919885,68510,124,0.0018099547511312218
01010,3699,0.06055690727223574,88438,197,0.002227549243537846
01011,1318,0.09180576631259484,80640,99,0.0012276785714285714
01012,440,0.09318181818181819,73906,47,0.0006359429545639055
01013,22895,0.17147848875300284,62000,4545,0.07330645161290322
01020,30417,0.13446427984350856,67617,4885,0.07224514545158763
01022,2144,0.1921641791044776,52207,306,0.005861282969716704
01026,1073,0.06803355079217148,83875,90,0.0010730253353204173
01027,17711,0.08683868782112811,69337,3178,0.04583411454201941
01028,16273,0.034781539974190374,100610,912,0.009064705297684127
01029,527,0.026565464895635674,93125,19,0.00020402684563758388
01030,12561,0.0570018310644057,87324,1165,0.013341120425083597
01031,1697,0.20035356511490865,51250,325,0.006341463414634147
01032,484,0.09917355371900827,88077,26,0.00029519624873690066
01033,6096,0.049868766404199474,102248,277,0.0027090994444879117
01034,2065,0.06295399515738499,104583,46,0.00043984203933717715
01035,5295,0.04343720491029273,112450,595,0.005291240551356159
01036,4966,0.023157470801449857,110320,95,0.0008611312545322697
01037,582,0.015463917525773196,78047,26,0.0003331325995874281
01038,2469,0.06480356419603078,103125,276,0.0026763636363636364
01039,1728,0.03935185185185185,109167,84,0.0007694632993487043
01040,38210,0.2532059670243392,49007,8840,0.1803823943518273
01050,2714,0.11864406779661017,84333,196,0.0023241198581812578
01053,1885,0.09389920424403184,60875,162,0.0026611909650924026
01054,1793,0.09258226436140547,105833,86,0.0008126009845700301
01056,20883,0.09428721926926208,76395,2209,0.02891550494142287
01057,8215,0.10456482045039561,85614,571,0.006669469946504076
01060,14724,0.11491442542787286,79604,4011,0.05038691523039043
01062,9491,0.10062164155515751,87409,961,0.010994291205711082
01063,2089,0.0,-666666666,6,-9.000000009e-09
01066,134,0.6194029850746269,20202,0,0.0
01068,1585,0.05236593059936909,93906,42,0.0004472557664047026
01069,8516,0.07468294974166276,71439,980,0.013717997172412828
01070,571,0.15236427320490367,60313,25,0.00041450433571535157
